video;action
videos/0102_Mug_cond2.mp4;DRINKING
videos/0202_Pen_cond2.mp4;WRITING
videos/0302_Knife_cond2.mp4;CUTTING
videos/0402_Spoon_cond2.mp4;EATING SOUP
videos/0502_Racket_cond2.mp4;PLAYING TENNIS
videos/0602_Hammer_cond2.mp4;HAMMERING
videos/0702_Hat_cond2.mp4;PUTTING ON A HAT
videos/0802_Spining_cond2.mp4;SPINNING
videos/0902_Tweezers_cond2.mp4;PLUCKING EYEBROWS
videos/1002_Dumbbell_cond2.mp4;LIFTING
videos/1102_Mixer_cond2.mp4;STIRRING
videos/1202_Hairbrush_cond2.mp4;BRUSHING HAIR
videos/1302_Hairspray_cond2.mp4;SPRAYING HAIR
videos/1402_Perfume_cond2.mp4;SPRAYING PERFUME
videos/1502_Toothbrush_cond2.mp4;BRUSHING TEETH
videos/1602_Sunglasses_cond2.mp4;PUTTING ON SUNGLASSES
videos/1702_Lighter_cond2.mp4;FLICK A LIGHTER
videos/1802_Headphones_cond2.mp4;PUTTING ON HEADPHONES